id,x,y,colour,side,gate_id
141,-3.57345275,9.059301746262229,yellow,left,101
142,-5.058988531,9.816220033,yellow,left,102
143,-9.125,10.625,yellow,left,103
144,-13.19101147,9.816220033,yellow,left,104
145,-16.63800955,7.513009550107068,yellow,left,105
146,-18.94122003,4.066011469,yellow,left,106
147,-19.75,0,yellow,left,107
148,-18.94122003,-4.066011469,yellow,left,108
149,-16.63800955,-7.51300955,yellow,left,109
150,-13.19101147,-9.816220033,yellow,left,110
151,-9.125,-10.625,yellow,left,111
152,-5.058988531,-9.816220033,yellow,left,112
153,-3.57345275,-9.059301746,yellow,left,113
183,3.573452749893044,-9.059301746,blue,right,213
182,5.058988531120922,-9.816220033,blue,right,212
181,9.125,-10.625,blue,right,211
180,13.19101146887908,-9.816220033,blue,right,210
179,16.638009550107068,-7.51300955,blue,right,209
178,18.94122003293242,-4.066011469,blue,right,208
171,3.573452749893044,9.059301746,blue,right,201
172,5.058988531120922,9.816220033,blue,right,202
173,9.125,10.625,blue,right,203
174,13.19101146887908,9.816220033,blue,right,204
175,16.638009550107068,7.513009550107068,blue,right,205
176,18.94122003293242,4.066011468879079,blue,right,206
177,19.75,0,blue,right,207
41,-1.5,0,blue,left,301
42,-2.080418565,2.9179611717838094,blue,left,302
43,-3.733310793,5.391689206547425,blue,left,101
44,-6.207038828,7.044581435398562,blue,left,102
45,-9.125,7.625,blue,left,103
46,-12.04296117,7.044581435398562,blue,left,104
47,-14.51668921,5.391689206547425,blue,left,105
48,-16.16958144,2.9179611717838103,blue,left,106
49,-16.75,9.337931843498569e-16,blue,left,107
50,-16.16958144,-2.917961172,blue,left,108
51,-14.51668921,-5.391689207,blue,left,109
52,-12.04296117,-7.044581435,blue,left,110
53,-9.125,-7.625,blue,left,111
54,-6.207038828,-7.044581435,blue,left,112
55,-3.733310793,-5.391689207,blue,left,113
56,-2.080418565,-2.917961172,blue,left,300
71,1.5,0,yellow,right,301
72,2.0804185646014384,2.9179611717838094,yellow,right,302
73,3.733310793452575,5.391689206547425,yellow,right,201
74,6.207038828,7.044581435398562,yellow,right,202
75,9.125,7.625,yellow,right,203
76,12.042961171783809,7.044581435398562,yellow,right,204
77,14.516689206547424,5.391689206547425,yellow,right,205
78,16.169581435398563,2.9179611717838103,yellow,right,206
79,16.75,9.337931843498569e-16,yellow,right,207
80,16.169581435398563,-2.917961172,yellow,right,208
81,14.516689206547426,-5.391689207,yellow,right,209
82,12.042961171783809,-7.044581435,yellow,right,210
83,9.125000000000002,-7.625,yellow,right,211
84,6.207038828216189,-7.044581435,yellow,right,212
85,3.733310793452577,-5.391689207,yellow,right,213
86,2.0804185646014375,-2.917961172,yellow,right,300
2,1.5,-10,orange,center,2
1,1.5,-15,orange,center,1
12,-1.5,-10,orange,center,2
11,-1.5,-15,orange,center,1
3,1.5,10,orange,center,3
4,1.5,15,orange,center,4
5,1.5,20,orange,center,5
6,1.5,25,orange,center,777
7,0.5,25,orange,center,777
8,-0.5,25,orange,center,777
9,-1.5,25,orange,center,777
15,-1.5,20,orange,center,5
13,-1.5,10,orange,center,3
14,-1.5,15,orange,center,4
-99,-1.5,1,orange_large,center,999
-98,-1.5,-1,orange_large,center,1000
99,1.5,1,orange_large,center,999
98,1.5,-1,orange_large,center,1000
