# frame_id,base_footprint
# stamp_first_ns,176541000000
# stamp_last_ns,177111000000
# columns: x_m,y_m,color
x_m,y_m,color
14.400203,1.637208,blue
6.896191,-1.745564,blue
4.596179,-5.188456,blue
7.367241,12.160233,blue
6.788231,9.250236,blue
7.367220,6.336234,blue
9.018211,3.867228,blue
11.487206,2.216219,blue
6.896204,1.745236,yellow
4.596216,5.188244,yellow
14.400191,-1.637292,yellow
11.487190,-2.216681,yellow
9.018183,-3.866872,yellow
7.367175,-6.336566,yellow
6.788164,-9.249764,yellow
7.367154,-12.162766,yellow
3.400192,-1.637252,orange
5.400192,-1.637259,orange
3.400203,1.637248,orange
5.400203,1.637241,orange
12.917788,-1.780912,orange_large
12.917801,1.785788,orange_large
3.790164,-9.249753,unknown
4.596149,-13.310756,unknown
6.896137,-16.753765,unknown
10.339128,-19.053778,unknown
14.400126,-19.861792,unknown
18.461329,-19.053806,unknown
17.313305,2.216198,unknown
19.783010,3.867189,unknown
19.783051,14.630189,unknown
17.313356,16.280197,unknown
14.400258,16.860209,unknown
11.487257,16.280218,unknown
9.018250,14.630228,unknown
14.400136,-16.861792,unknown
3.790231,9.250247,unknown
4.600245,13.310245,unknown
6.896258,16.750237,unknown
10.339266,19.050222,unknown
14.400269,19.860209,unknown
18.461466,19.050194,unknown
17.313238,-16.282803,unknown
19.782944,-14.631811,unknown
19.782984,-3.866911,unknown
17.313290,-2.216702,unknown
9.018144,-14.631772,unknown
11.487139,-16.282782,unknown
15.887888,-1.780922,unknown
15.887901,1.785778,unknown
