obs_index,nn_error_m
0,3.9866068115574176e-05
1,1.083826870946e-05
2,1.959724459561207e-05
3,5.205205206014334e-08
4,4.6870057642382525e-08
5,1.7333867291567873e-06
6,2.8707288250014892e-06
7,3.98416892710533e-05
8,1.0806078915388995e-05
9,1.956726063733094e-05
10,5.205205133041057e-08
11,3.803022399100303e-06
12,1.7840344370837187e-06
13,4.687005938238608e-08
14,1.4668713162836785e-08
15,1.4668712972435116e-08
16,1.4668712248908711e-08
17,1.466871205850703e-08
18,4.353234577754792e-05
19,1.4649792803974357e-05
20,4.4034328266760405e-05
21,1.4331168364021661e-06
22,1.0095079418753312e-06
23,1.2997341642274382e-06
24,2.3167938310423304e-05
25,9.58220167111766e-06
26,1.1517648850537806e-05
27,4.432294075867534e-05
28,1.5187015478716982e-05
29,4.427962683292435e-05
30,1.3102385085788326e-06
31,9.944437251214786e-07
32,1.1503007177753586e-05
33,1.0538432207334172e-05
34,2.3871300419440835e-05
35,1.4445704316245713e-06
