t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
2.060000,18,0,0.000,0.000,1.00,1000
2.506000,18,0,0.000,0.000,1.00,1000
3.000000,18,0,0.000,0.000,1.00,1000
3.538000,18,0,0.000,0.000,1.00,300
3.702000,18,0,0.000,0.000,1.00,300
3.860000,18,0,0.000,0.000,1.00,300
4.058000,18,0,0.000,0.000,1.00,300
4.246000,18,0,0.000,0.000,1.00,300
4.428000,18,0,0.000,0.000,1.00,300
4.596000,18,0,0.000,0.000,1.00,300
4.770000,18,0,0.000,0.000,1.00,300
4.930000,18,0,0.000,0.000,1.00,300
5.093000,18,0,0.000,0.000,1.00,300
5.245000,18,0,0.000,0.000,1.00,300
5.394000,18,0,0.000,0.000,1.00,300
5.529000,18,0,0.000,0.000,1.00,300
5.697000,18,0,0.000,0.000,1.00,300
5.848000,18,0,0.000,0.000,1.00,300
5.992000,18,0,0.000,0.000,1.00,300
6.136000,18,0,0.000,0.000,1.00,300
6.292000,18,0,0.000,0.000,1.00,300
6.444000,18,0,0.000,0.000,1.00,300
6.589000,18,0,0.000,0.000,1.00,300
6.747000,18,0,0.000,0.000,1.00,300
6.890000,18,0,0.000,0.000,1.00,300
7.051000,18,0,0.000,0.000,1.00,300
7.191000,18,0,0.000,0.000,1.00,300
7.344000,18,0,0.000,0.000,1.00,300
7.494000,18,0,0.000,0.000,1.00,300
7.627000,18,0,0.000,0.000,1.00,300
7.750000,18,0,0.000,0.000,1.00,300
7.899000,18,0,0.000,0.000,1.00,300
8.048000,18,0,0.000,0.000,1.00,300
8.188000,18,0,0.000,0.000,1.00,300
8.333000,18,0,0.000,0.000,1.00,300
8.481000,18,0,0.000,0.000,1.00,300
8.628000,18,0,0.000,0.000,1.00,300
8.794000,18,0,0.000,0.000,1.00,300
8.946000,18,0,0.000,0.000,1.00,300
9.091000,18,0,0.000,0.000,1.00,300
9.230000,18,0,0.000,0.000,1.00,300
9.376000,18,0,0.000,0.000,1.00,300
9.524000,18,0,0.000,0.000,1.00,300
9.700000,18,0,0.000,0.000,1.00,300
9.846000,18,0,0.000,0.000,1.00,300
10.000000,18,0,0.000,0.000,1.00,300
10.161000,18,0,0.000,0.000,1.00,300
10.306000,18,0,0.000,0.000,1.00,300
10.462000,18,0,0.000,0.000,1.00,300
10.590000,18,0,0.000,0.000,1.00,300
10.736000,18,0,0.000,0.000,1.00,300
10.883000,18,0,0.000,0.000,1.00,300
11.034000,18,0,0.000,0.000,1.00,300
11.190000,18,0,0.000,0.000,1.00,300
11.336000,18,0,0.000,0.000,1.00,300
11.476000,18,0,0.000,0.000,1.00,300
11.625000,18,0,0.000,0.000,1.00,300
11.769000,18,0,0.000,0.000,1.00,300
11.915000,18,0,0.000,0.000,1.00,300
12.041000,18,0,0.000,0.000,1.00,300
12.195000,18,0,0.000,0.000,1.00,300
12.346000,18,0,0.000,0.000,1.00,300
12.485000,18,0,0.000,0.000,1.00,300
12.648000,18,0,0.000,0.000,1.00,300
12.802000,18,0,0.000,0.000,1.00,300
12.952000,18,0,0.000,0.000,1.00,300
13.076000,18,0,0.000,0.000,1.00,300
13.230000,18,0,0.000,0.000,1.00,300
13.376000,18,0,0.000,0.000,1.00,300
13.529000,18,0,0.000,0.000,1.00,300
13.665000,18,0,0.000,0.000,1.00,300
13.806000,18,0,0.000,0.000,1.00,300
13.968000,18,0,0.000,0.000,1.00,300
14.105000,18,0,0.000,0.000,1.00,300
14.241000,18,0,0.000,0.000,1.00,300
14.385000,18,0,0.000,0.000,1.00,300
14.529000,18,0,0.000,0.000,1.00,300
14.711000,18,0,0.000,0.000,1.00,300
14.891000,18,0,0.000,0.000,1.00,300
15.044000,18,0,0.000,0.000,1.00,300
15.195000,18,0,0.000,0.000,1.00,300
15.334000,18,0,0.000,0.000,1.00,300
15.485000,18,0,0.000,0.000,1.00,300
15.623000,18,0,0.000,0.000,1.00,300
15.750000,18,0,0.000,0.000,1.00,300
15.891000,18,0,0.000,0.000,1.00,300
16.033000,18,0,0.000,0.000,1.00,300
16.169000,18,0,0.000,0.000,1.00,300
16.326000,18,0,0.000,0.000,1.00,300
16.471000,18,0,0.000,0.000,1.00,300
16.625000,18,0,0.000,0.000,1.00,300
16.783000,18,0,0.000,0.000,1.00,300
16.931000,18,0,0.000,0.000,1.00,300
17.079000,18,0,0.000,0.000,1.00,300
17.222000,18,0,0.000,0.000,1.00,300
17.372000,18,0,0.000,0.000,1.00,300
17.530000,18,0,0.000,0.000,1.00,300
17.662000,18,0,0.000,0.000,1.00,300
17.829000,18,0,0.000,0.000,1.00,300
17.971000,18,0,0.000,0.000,1.00,300
18.111000,18,0,0.000,0.000,1.00,300
18.269000,18,0,0.000,0.000,1.00,300
18.436000,18,0,0.000,0.000,1.00,300
18.582000,18,0,0.000,0.000,1.00,300
18.725000,18,0,0.000,0.000,1.00,300
18.868000,18,0,0.000,0.000,1.00,300
19.016000,18,0,0.000,0.000,1.00,300
19.174000,18,0,0.000,0.000,1.00,300
19.317000,18,0,0.000,0.000,1.00,300
19.462000,18,0,0.000,0.000,1.00,300
19.605000,18,0,0.000,0.000,1.00,300
19.771000,18,0,0.000,0.000,1.00,300
