t,x,y,yaw,v
2.060000,-0.001,0.004,0.00052,0.004
2.506000,-0.000,0.004,0.00147,0.016
3.000000,0.000,0.004,0.00081,0.018
3.538000,0.007,-0.002,0.00090,0.016
3.702000,0.007,-0.002,0.00026,0.017
3.860000,0.007,-0.002,-0.00195,0.018
4.058000,0.008,-0.002,-0.00072,0.018
4.246000,0.008,-0.002,0.00241,0.017
4.428000,0.009,-0.002,0.00069,0.019
4.596000,0.009,-0.002,0.00169,0.016
4.770000,0.009,-0.002,0.00085,0.015
4.930000,0.010,-0.002,0.00350,0.017
5.093000,0.010,-0.002,0.00477,0.018
5.245000,0.010,-0.002,0.00416,0.017
5.394000,0.011,-0.002,0.00626,0.018
5.529000,0.011,-0.002,0.00683,0.015
5.697000,0.011,-0.002,0.00905,0.018
5.848000,0.012,-0.002,0.01030,0.020
5.992000,0.012,-0.002,0.00923,0.014
6.136000,0.012,-0.002,0.00922,0.017
6.292000,0.013,-0.002,0.00702,0.015
6.444000,0.013,-0.002,0.00772,0.017
6.589000,0.013,-0.002,0.01337,0.020
6.747000,0.014,-0.002,0.01335,0.017
6.890000,0.014,-0.002,0.01178,0.017
7.051000,0.014,-0.002,0.01203,0.016
7.191000,0.015,-0.002,0.01010,0.018
7.344000,0.015,-0.002,0.01286,0.017
7.494000,0.015,-0.002,0.01262,0.019
7.627000,0.016,-0.002,0.01150,0.016
7.750000,0.016,-0.002,0.01093,0.015
7.899000,0.016,-0.002,0.01017,0.017
8.048000,0.017,-0.002,0.01022,0.018
8.188000,0.017,-0.002,0.00797,0.020
8.333000,0.017,-0.002,0.00941,0.017
8.481000,0.018,-0.002,0.01022,0.016
8.628000,0.018,-0.002,0.00836,0.014
8.794000,0.018,-0.002,0.00758,0.016
8.946000,0.019,-0.002,0.00733,0.018
9.091000,0.019,-0.002,0.00619,0.018
9.230000,0.019,-0.002,0.00259,0.019
9.376000,0.020,-0.002,0.00385,0.016
9.524000,0.020,-0.002,0.00405,0.020
9.700000,0.021,-0.002,0.00643,0.017
9.846000,0.021,-0.002,0.00507,0.018
10.000000,0.021,-0.002,0.00717,0.016
10.161000,0.022,-0.002,0.00673,0.018
10.306000,0.022,-0.002,0.00715,0.018
10.462000,0.022,-0.002,0.00907,0.018
10.590000,0.023,-0.002,0.00712,0.017
10.736000,0.023,-0.002,0.00803,0.018
10.883000,0.023,-0.002,0.00812,0.017
11.034000,0.024,-0.002,0.00669,0.016
11.190000,0.024,-0.002,0.00498,0.018
11.336000,0.024,-0.002,0.00305,0.015
11.476000,0.025,-0.002,0.00327,0.018
11.625000,0.025,-0.002,0.00396,0.019
11.769000,0.025,-0.002,0.00291,0.017
11.915000,0.026,-0.002,0.00361,0.017
12.041000,0.026,-0.002,0.00307,0.019
12.195000,0.027,-0.002,0.00380,0.019
12.346000,0.027,-0.002,0.00402,0.015
12.485000,0.027,-0.002,0.00426,0.017
12.648000,0.027,-0.002,0.00272,0.013
12.802000,0.028,-0.002,0.00387,0.018
12.952000,0.028,-0.002,0.00296,0.018
13.076000,0.028,-0.002,0.00278,0.016
13.230000,0.029,-0.002,0.00169,0.017
13.376000,0.029,-0.002,0.00542,0.018
13.529000,0.029,-0.002,0.00460,0.017
13.665000,0.030,-0.002,0.00572,0.018
13.806000,0.030,-0.002,0.00439,0.017
13.968000,0.031,-0.002,0.00639,0.017
14.105000,0.031,-0.002,0.00490,0.016
14.241000,0.031,-0.002,0.00289,0.017
14.385000,0.032,-0.002,0.00308,0.016
14.529000,0.032,-0.002,0.00160,0.015
14.711000,0.032,-0.002,0.00343,0.016
14.891000,0.032,-0.002,0.00167,0.016
15.044000,0.033,-0.002,0.00290,0.014
15.195000,0.033,-0.002,0.00251,0.017
15.334000,0.034,-0.002,0.00329,0.021
15.485000,0.034,-0.002,0.00200,0.018
15.623000,0.034,-0.002,0.00075,0.017
15.750000,0.035,-0.002,0.00005,0.016
15.891000,0.035,-0.002,0.00148,0.021
16.033000,0.035,-0.002,0.00163,0.017
16.169000,0.036,-0.002,0.00092,0.016
16.326000,0.036,-0.002,0.00287,0.015
16.471000,0.036,-0.002,0.00260,0.018
