t,x,y,yaw
2.060000,0.000,0.000,0.00000
2.506000,0.000,0.000,0.00000
3.000000,0.000,0.000,0.00000
3.538000,0.000,0.000,0.00000
3.702000,0.000,0.000,0.00000
3.860000,0.000,0.000,0.00000
4.058000,0.000,0.000,0.00000
4.246000,0.000,0.000,0.00000
4.428000,0.000,0.000,0.00000
4.596000,0.000,0.000,0.00000
4.770000,0.000,0.000,0.00000
4.930000,0.000,0.000,0.00000
5.093000,0.000,0.000,0.00000
5.245000,0.000,0.000,0.00000
5.394000,0.000,0.000,0.00000
5.529000,0.000,0.000,0.00000
5.697000,0.000,0.000,0.00000
5.848000,0.000,0.000,0.00000
5.992000,0.000,0.000,0.00000
6.136000,0.000,0.000,0.00000
6.292000,0.000,0.000,0.00000
6.444000,0.000,0.000,0.00000
6.589000,0.000,0.000,0.00000
6.747000,0.000,0.000,0.00000
6.890000,0.000,0.000,0.00000
7.051000,0.000,0.000,0.00000
7.191000,0.000,0.000,0.00000
7.344000,0.000,0.000,0.00000
7.494000,0.000,0.000,0.00000
7.627000,0.000,0.000,0.00000
7.750000,0.000,0.000,0.00000
7.899000,0.000,0.000,0.00000
8.048000,0.000,0.000,0.00000
8.188000,0.000,0.000,0.00000
8.333000,0.000,0.000,0.00000
8.481000,0.000,0.000,0.00000
8.628000,0.000,0.000,0.00000
8.794000,0.000,0.000,0.00000
8.946000,0.000,0.000,0.00000
9.091000,0.000,0.000,0.00000
9.230000,0.000,0.000,0.00000
9.376000,0.000,0.000,0.00000
9.524000,0.000,0.000,0.00000
9.700000,0.000,0.000,0.00000
9.846000,0.000,0.000,0.00000
10.000000,0.000,0.000,0.00000
10.161000,0.000,0.000,0.00000
10.306000,0.000,0.000,0.00000
10.462000,0.000,0.000,0.00000
10.590000,0.000,0.000,0.00000
10.736000,0.000,0.000,0.00000
10.883000,0.000,0.000,0.00000
11.034000,0.000,0.000,0.00000
11.190000,0.000,0.000,0.00000
11.336000,0.000,0.000,0.00000
11.476000,0.000,0.000,0.00000
11.625000,0.000,0.000,0.00000
11.769000,0.000,0.000,0.00000
11.915000,0.000,0.000,0.00000
12.041000,0.000,0.000,0.00000
12.195000,0.000,0.000,0.00000
12.346000,0.000,0.000,0.00000
12.485000,0.000,0.000,0.00000
12.648000,0.000,0.000,0.00000
12.802000,0.000,0.000,0.00000
12.952000,0.000,0.000,0.00000
13.076000,0.000,0.000,0.00000
13.230000,0.000,0.000,0.00000
13.376000,0.000,0.000,0.00000
13.529000,0.000,0.000,0.00000
13.665000,0.000,0.000,0.00000
13.806000,0.000,0.000,0.00000
13.968000,0.000,0.000,0.00000
14.105000,0.000,0.000,0.00000
14.241000,0.000,0.000,0.00000
14.385000,0.000,0.000,0.00000
14.529000,0.000,0.000,0.00000
14.711000,0.000,0.000,0.00000
14.891000,0.000,0.000,0.00000
15.044000,0.000,0.000,0.00000
15.195000,0.000,0.000,0.00000
15.334000,0.000,0.000,0.00000
15.485000,0.000,0.000,0.00000
15.623000,0.000,0.000,0.00000
15.750000,0.000,0.000,0.00000
15.891000,0.000,0.000,0.00000
16.033000,0.000,0.000,0.00000
16.169000,0.000,0.000,0.00000
16.326000,0.000,0.000,0.00000
16.471000,0.000,0.000,0.00000
16.625000,0.000,0.000,0.00000
16.783000,0.000,0.000,0.00000
16.931000,0.000,0.000,0.00000
17.079000,0.000,0.000,0.00000
17.222000,0.000,0.000,0.00000
17.372000,0.000,0.000,0.00000
17.530000,0.000,0.000,0.00000
17.662000,0.000,0.000,0.00000
17.829000,0.000,0.000,0.00000
17.971000,0.000,0.000,0.00000
18.111000,0.000,0.000,0.00000
18.269000,0.000,0.000,0.00000
18.436000,0.000,0.000,0.00000
18.582000,0.000,0.000,0.00000
18.725000,0.000,0.000,0.00000
18.868000,0.000,0.000,0.00000
19.016000,0.000,0.000,0.00000
19.174000,0.000,0.000,0.00000
19.317000,0.000,0.000,0.00000
19.462000,0.000,0.000,0.00000
19.605000,0.000,0.000,0.00000
19.771000,0.000,0.000,0.00000
19.906000,0.000,0.000,0.00000
20.053000,0.000,0.000,0.00000
20.204000,0.000,0.000,0.00000
20.360000,0.000,0.000,0.00000
20.509000,0.000,0.000,0.00000
20.647000,0.000,0.000,0.00000
20.816000,0.000,0.000,0.00000
20.952000,0.000,0.000,0.00000
21.115000,0.000,0.000,0.00000
21.254000,0.000,0.000,0.00000
21.415000,0.000,0.000,0.00000
21.540000,0.000,0.000,0.00000
21.690000,0.000,0.000,0.00000
21.837000,0.000,0.000,0.00000
21.982000,0.000,0.000,0.00000
22.121000,0.000,0.000,0.00000
22.275000,0.000,0.000,0.00000
22.420000,0.000,0.000,0.00000
22.570000,0.000,0.000,0.00000
22.728000,0.000,0.000,0.00000
22.876000,0.000,0.000,0.00000
23.017000,0.000,0.000,0.00000
23.193000,0.000,0.000,0.00000
23.329000,0.000,0.000,0.00000
23.474000,0.000,0.000,0.00000
23.633000,0.000,0.000,0.00000
23.763000,0.000,0.000,0.00000
23.926000,0.000,0.000,0.00000
