t,ex,ey,eyaw
478.962000,-0.001,0.007,0.00099
479.362000,-0.002,0.007,0.00292
479.821000,-0.002,0.007,0.00353
480.293000,-0.010,-0.002,0.00441
480.434000,-0.011,-0.002,0.00384
480.591000,-0.011,-0.002,0.00370
480.720000,-0.012,-0.002,0.00233
480.871000,-0.012,-0.002,0.00341
481.023000,-0.013,-0.002,0.00171
481.169000,-0.013,-0.002,0.00134
481.311000,-0.013,-0.002,0.00017
481.458000,-0.014,-0.002,0.00184
481.610000,-0.014,-0.002,0.00291
481.748000,-0.015,-0.002,0.00426
481.891000,-0.015,-0.002,0.00316
482.019000,-0.016,-0.002,0.00181
482.158000,-0.016,-0.002,0.00306
482.284000,-0.017,-0.002,0.00536
482.436000,-0.017,-0.002,0.00311
482.567000,-0.018,-0.002,0.00315
482.691000,-0.018,-0.002,0.00210
482.848000,-0.019,-0.002,0.00028
483.004000,-0.019,-0.002,0.00141
483.128000,-0.020,-0.002,0.00277
483.290000,-0.020,-0.002,0.00206
483.444000,-0.021,-0.002,0.00459
483.658000,-0.021,-0.002,0.00377
483.812000,-0.022,-0.002,0.00193
483.964000,-0.022,-0.002,0.00115
484.146000,-0.023,-0.002,-0.00007
484.307000,-0.024,-0.002,-0.00060
484.482000,-0.024,-0.002,0.00129
484.627000,-0.025,-0.002,0.00166
484.781000,-0.025,-0.002,0.00395
484.937000,-0.026,-0.002,-0.00019
485.100000,-0.026,-0.002,0.00130
485.254000,-0.027,-0.002,-0.00022
485.420000,-0.027,-0.002,0.00182
485.584000,-0.027,-0.002,0.00176
485.752000,-0.028,-0.002,0.00057
485.914000,-0.028,-0.002,-0.00010
486.056000,-0.029,-0.002,0.00036
486.211000,-0.029,-0.002,0.00061
486.375000,-0.030,-0.002,0.00196
486.541000,-0.030,-0.002,0.00163
486.695000,-0.031,-0.002,-0.00093
486.897000,-0.031,-0.002,-0.00184
487.090000,-0.032,-0.002,-0.00259
487.239000,-0.032,-0.002,-0.00280
487.377000,-0.033,-0.002,-0.00079
487.520000,-0.033,-0.002,0.00008
487.666000,-0.034,-0.002,0.00020
487.819000,-0.034,-0.002,0.00008
487.969000,-0.035,-0.002,0.00008
488.128000,-0.035,-0.002,-0.00174
488.261000,-0.036,-0.002,-0.00390
488.408000,-0.036,-0.002,-0.00539
488.552000,-0.037,-0.002,-0.00451
488.703000,-0.037,-0.002,-0.00473
488.870000,-0.038,-0.002,-0.00437
489.014000,-0.039,-0.002,-0.00447
489.170000,-0.039,-0.002,-0.00353
489.323000,-0.039,-0.002,-0.00783
489.464000,-0.040,-0.002,-0.00736
489.622000,-0.040,-0.002,-0.00913
489.764000,-0.041,-0.002,-0.00638
489.914000,-0.041,-0.002,-0.00696
490.063000,-0.042,-0.002,-0.00599
490.217000,-0.038,-0.002,-0.00666
490.362000,-0.027,-0.002,-0.00709
490.526000,-0.002,-0.002,-0.00770
490.672000,0.030,-0.002,-0.00812
490.817000,0.071,-0.002,-0.01000
490.950000,0.116,-0.002,-0.01130
491.093000,0.176,-0.002,-0.00937
491.249000,0.256,-0.003,-0.00837
491.401000,0.341,-0.003,-0.00705
491.546000,0.432,-0.003,-0.00448
