t,predict_ms,update_ms
8.925000,1.00,804.47
9.066000,20.00,776.44
9.266000,20.00,758.41
9.466000,20.00,827.14
9.668000,20.00,863.60
9.804000,20.00,849.39
9.973000,20.00,798.93
10.169000,20.00,760.63
10.421000,20.00,782.77
10.571000,20.00,758.45
10.826000,20.00,736.82
11.067000,20.00,755.54
11.266000,20.00,768.22
11.471000,20.00,740.67
11.687000,20.00,753.40
11.966000,20.00,785.58
12.167000,20.00,881.64
12.365000,20.00,811.60
12.566000,20.00,812.59
12.678000,20.00,815.21
12.874000,20.00,744.70
13.167000,20.00,782.83
13.372000,20.00,814.20
13.571000,20.00,925.91
13.772000,20.00,836.70
14.066000,20.00,801.77
14.268000,20.00,833.98
14.469000,20.00,771.57
14.663000,20.00,796.08
14.868000,20.00,785.17
15.069000,20.00,766.05
15.369000,20.00,764.22
15.570000,20.00,758.84
15.769000,20.00,778.34
16.065000,20.00,788.79
16.266000,20.00,841.44
16.467000,20.00,810.83
16.660000,20.00,789.73
16.863000,20.00,843.15
17.066000,20.00,861.80
17.266000,20.00,771.11
17.444000,20.00,759.74
17.670000,20.00,798.78
17.890000,20.00,784.49
18.135000,20.00,790.34
18.357000,20.00,784.35
18.562000,20.00,798.07
18.770000,20.00,771.56
18.967000,20.00,763.24
19.264000,20.00,759.49
19.429000,20.00,770.48
19.565000,20.00,796.32
19.805000,20.00,751.39
20.114000,20.00,757.52
20.367000,20.00,787.42
20.570000,20.00,807.79
20.767000,20.00,771.08
21.050000,20.00,781.61
21.270000,20.00,774.14
21.465000,20.00,769.45
21.721000,20.00,711.76
21.965000,20.00,762.28
22.169000,20.00,792.00
22.370000,20.00,469.34
22.541000,20.00,464.95
22.671000,20.00,478.08
22.770000,20.00,477.29
22.868000,20.00,507.96
22.967000,20.00,506.71
23.168000,20.00,435.72
23.269000,20.00,432.98
23.469000,20.00,420.57
23.534000,20.00,435.84
23.665000,20.00,463.75
23.772000,20.00,450.48
23.867000,20.00,429.76
24.065000,20.00,525.39
24.166000,20.00,489.36
24.367000,20.00,519.93
24.469000,20.00,493.99
24.567000,20.00,481.62
24.702000,20.00,447.26
24.867000,20.00,415.42
24.988000,20.00,473.26
25.109000,20.00,492.96
25.254000,20.00,472.08
25.366000,20.00,402.78
25.483000,20.00,385.83
25.665000,20.00,376.20
25.771000,20.00,386.04
25.869000,20.00,434.18
25.942000,20.00,425.00
26.022000,20.00,453.71
26.148000,20.00,423.36
26.290000,20.00,391.86
26.368000,20.00,393.10
26.467000,20.00,323.47
26.567000,20.00,312.87
26.668000,20.00,315.33
26.713000,20.00,271.77
26.847000,20.00,277.39
26.967000,20.00,278.01
27.067000,20.00,303.52
27.068000,1.00,281.56
27.165000,20.00,292.46
27.268000,20.00,334.83
27.304000,20.00,319.94
27.369000,20.00,306.25
27.466000,20.00,302.50
27.613000,20.00,305.17
27.742000,20.00,297.73
27.870000,20.00,323.06
27.917000,20.00,363.79
27.969000,20.00,282.33
28.068000,20.00,292.95
28.167000,20.00,290.85
28.269000,20.00,285.79
28.368000,20.00,319.63
28.493000,20.00,358.35
28.569000,20.00,329.71
28.670000,20.00,307.14
28.770000,20.00,348.63
28.869000,20.00,350.58
28.930000,20.00,343.85
29.068000,20.00,413.18
29.191000,20.00,474.62
29.386000,20.00,457.90
29.566000,20.00,494.59
29.667000,20.00,491.78
29.770000,20.00,464.47
29.966000,20.00,442.28
30.166000,20.00,474.85
30.269000,20.00,494.79
30.369000,20.00,506.73
30.519000,20.00,504.79
30.669000,20.00,470.21
30.866000,20.00,483.74
30.972000,20.00,460.26
31.075000,20.00,492.11
31.269000,20.00,477.25
31.367000,20.00,404.16
31.503000,20.00,413.40
31.670000,20.00,394.74
31.776000,20.00,420.35
31.969000,20.00,366.24
32.068000,20.00,411.40
32.171000,20.00,405.84
32.268000,20.00,402.08
32.371000,20.00,461.00
32.473000,20.00,430.29
32.620000,20.00,432.35
32.771000,20.00,380.31
32.868000,20.00,366.58
32.970000,20.00,356.41
33.062000,20.00,380.36
33.076000,14.00,376.89
33.165000,20.00,381.22
33.268000,20.00,345.29
33.365000,20.00,364.69
33.463000,20.00,379.07
33.563000,20.00,390.32
33.665000,20.00,343.51
33.679000,14.00,361.28
33.819000,20.00,341.49
33.896000,20.00,340.49
34.058000,20.00,346.25
34.166000,20.00,312.36
34.267000,20.00,333.64
34.382000,20.00,307.97
34.472000,20.00,326.50
34.568000,20.00,334.07
