frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
0,480.834000,18,12,10,186
1,480.844000,18,12,7,204
2,480.854000,18,12,5,165
3,480.864000,18,12,6,194
4,480.874000,18,12,5,187
5,480.924000,18,12,4,171
6,480.934000,18,12,4,186
7,480.984000,18,12,6,197
8,481.024000,18,12,6,157
9,481.034000,18,12,8,164
10,481.124000,18,12,5,178
11,481.134000,18,12,5,171
12,481.234000,18,12,6,163
13,481.294000,18,12,6,185
14,481.324000,18,12,4,165
15,481.424000,18,12,5,180
16,481.444000,18,12,5,168
17,481.524000,18,12,8,176
18,481.534000,18,12,8,202
19,481.624000,18,12,9,225
20,481.634000,18,12,6,195
21,481.644000,18,12,5,210
22,481.724000,18,12,9,201
23,481.734000,18,12,5,204
24,481.764000,18,12,5,173
25,481.824000,18,12,5,169
26,481.924000,18,12,4,184
27,481.934000,18,12,5,175
28,482.024000,18,12,5,195
29,482.124000,18,12,5,207
30,482.134000,18,12,10,200
31,482.144000,18,12,5,200
32,482.234000,18,12,7,225
33,482.244000,18,12,9,224
34,482.254000,18,12,5,190
35,482.314000,18,12,8,173
36,482.324000,18,12,4,181
37,482.414000,18,12,11,175
38,482.434000,18,12,9,187
39,482.534000,18,12,6,165
40,482.614000,18,12,10,182
41,482.624000,18,12,5,174
42,482.634000,18,12,7,174
43,482.734000,18,12,6,205
44,482.744000,18,12,4,179
45,482.814000,18,12,5,191
46,482.824000,18,12,5,145
47,482.884000,18,12,5,176
48,482.934000,18,12,6,158
49,483.024000,18,12,7,178
50,483.124000,18,12,5,158
51,483.184000,18,12,5,172
52,483.224000,18,12,5,166
53,483.324000,18,12,6,166
54,483.424000,18,12,6,163
55,483.484000,18,12,6,174
56,483.534000,18,12,7,168
57,483.624000,18,12,5,156
58,483.724000,18,12,14,160
59,483.734000,18,12,5,177
60,483.824000,18,12,4,165
61,483.914000,18,12,5,177
62,483.924000,18,12,5,176
63,484.024000,18,12,8,158
64,484.084000,18,12,7,174
65,484.134000,18,12,4,160
66,484.224000,18,12,9,152
67,484.324000,18,12,4,163
68,484.384000,18,12,5,159
69,484.424000,18,12,4,157
70,484.524000,18,12,6,155
71,484.604000,18,12,4,157
72,484.634000,18,12,8,157
73,484.724000,18,12,5,151
74,484.824000,18,12,8,173
75,484.854000,18,12,4,158
76,484.924000,18,12,5,170
77,484.994000,18,12,6,184
78,485.024000,18,12,4,161
79,485.124000,18,12,8,176
80,485.184000,18,12,5,180
81,485.234000,18,12,9,158
82,485.324000,18,12,5,171
83,485.334000,18,12,6,165
84,485.394000,18,12,7,172
85,485.424000,18,12,7,179
86,485.534000,18,12,8,176
87,485.544000,18,12,13,168
88,485.624000,18,12,5,175
89,485.634000,18,12,4,184
90,485.724000,18,12,4,171
91,485.754000,18,12,12,192
92,485.824000,18,12,9,177
93,485.834000,18,12,10,186
94,485.934000,18,12,7,180
95,485.944000,18,12,5,171
96,485.954000,18,12,4,195
97,486.024000,18,12,6,192
98,486.034000,18,12,5,164
99,486.114000,18,12,7,177
100,486.134000,18,12,6,166
101,486.234000,18,12,6,175
102,486.324000,18,12,5,175
103,486.334000,18,12,7,168
104,486.424000,18,12,6,180
105,486.434000,18,12,7,168
106,486.534000,18,12,4,167
