frame,t,match_frac,mean_mahal_sqrt,p95_mahal_sqrt,wrong_side_rate,color_confusions,n_obs
0,32.762000,0.667,0.000,0.000,0.000,0,18
1,32.772000,0.667,0.000,0.000,0.000,0,18
2,32.782000,0.667,0.000,0.000,0.000,0,18
3,32.792000,0.667,0.000,0.000,0.000,0,18
4,32.802000,0.667,0.000,0.000,0.000,0,18
5,32.812000,0.667,0.000,0.000,0.000,0,18
6,32.872000,0.667,0.000,0.000,0.000,0,18
7,32.972000,0.667,0.000,0.000,0.000,0,18
8,33.072000,0.667,0.000,0.000,0.000,0,18
9,33.172000,0.667,0.000,0.000,0.000,0,18
10,33.292000,0.667,0.000,0.000,0.000,0,18
11,33.392000,0.667,0.000,0.000,0.000,0,18
12,33.482000,0.667,0.000,0.000,0.000,0,18
13,33.592000,0.667,0.000,0.000,0.000,0,18
14,33.692000,0.667,0.000,0.000,0.000,0,18
15,33.802000,0.667,0.000,0.000,0.000,0,18
16,33.902000,0.667,0.000,0.000,0.000,0,18
17,34.002000,0.667,0.000,0.000,0.000,0,18
18,34.112000,0.667,0.000,0.000,0.000,0,18
19,34.192000,0.667,0.000,0.000,0.000,0,18
20,34.292000,0.667,0.000,0.000,0.000,0,18
21,34.392000,0.667,0.000,0.000,0.000,0,18
22,34.482000,0.667,0.000,0.000,0.000,0,18
23,34.572000,0.667,0.000,0.000,0.000,0,18
24,34.682000,0.667,0.000,0.000,0.000,0,18
25,34.792000,0.667,0.000,0.000,0.000,0,18
26,34.902000,0.667,0.000,0.000,0.000,0,18
27,35.002000,0.667,0.000,0.000,0.000,0,18
28,35.112000,0.667,0.000,0.000,0.000,0,18
29,35.222000,0.667,0.000,0.000,0.000,0,18
30,35.332000,0.667,0.000,0.000,0.000,0,18
31,35.452000,0.667,0.000,0.000,0.000,0,18
32,35.562000,0.667,0.000,0.000,0.000,0,18
33,35.672000,0.667,0.000,0.000,0.000,0,18
34,35.792000,0.667,0.000,0.000,0.000,0,18
35,35.902000,0.667,0.000,0.000,0.000,0,18
36,36.022000,0.667,0.000,0.000,0.000,0,18
37,36.132000,0.667,0.000,0.000,0.000,0,18
38,36.232000,0.667,0.000,0.000,0.000,0,18
39,36.342000,0.667,0.000,0.000,0.000,0,18
40,36.452000,0.667,0.000,0.000,0.000,0,18
